city,year,pressure_mean,rel_hum_mean,temp_mean,temp_dew_mean,visib_mean,wind_chill_mean,wind_dir_mean,wind_spd_mean,pressure_sd,rel_hum_sd,temp_sd,temp_dew_sd,visib_sd,wind_chill_sd,wind_dir_sd,wind_spd_sd,pressure_min,rel_hum_min,temp_min,temp_dew_min,visib_min,wind_chill_min,wind_dir_min,wind_spd_min,pressure_max,rel_hum_max,temp_max,temp_dew_max,visib_max,wind_chill_max,wind_dir_max,wind_spd_max,snow_grnd_sum,total_precip_sum,total_rain_sum,total_snow_sum,snow_grnd_sd,total_precip_sd,total_rain_sd,total_snow_sd,snow_grnd_min,total_precip_min,total_rain_min,total_snow_min,snow_grnd_max,total_precip_max,total_rain_max,total_snow_max,precip,temp,date
Edmonton,2009,92.98946461187215,67.13447488584475,1.4233333333333331,-4.927237442922374,21.725947488584477,-17.13923337091319,21.430104933059944,12.485045662100456,0.7814317897845073,20.04315354870058,14.11448480931669,11.89607124844542,5.958752999940161,10.88100046181955,8.861977751910516,8.1893899721089909,90.11,15,-46.1,-46.8,0,-58,1,0,95.52,100,33.6,18.5,24.1,-1,36,59,2726,293.2,161.6,147,10.941764888582354,2.282732634892344,1.8630835690779113,1.5185820275438005,0,0,0,0,36,23.8,23.8,16.2,293.2,1.4,2009-06-15
Edmonton,2010,92.8454497716895,73.13287671232877,2.459474885844749,-2.5399771689497714,21.19867579908676,-15.22438717787555,20.911929057337222,12.023972602739725,0.7508943427349254,18.783573151404145,12.26183104983324,10.949272022637617,6.1739257102402325,8.130107275524507,8.830654440662457,7.956318163321449,89.54,13,-34.9,-39.2,0,-46,1,0,95.23,100,30.6,20.1,72.4,-1,36,57,2160,511,429.7,88.7,8.897390382716667,4.471300422978476,4.150917170024102,1.287871022963812,0,0,0,0,26,44.8,44.8,16.8,511,2.5,2010-06-15
Edmonton,2011,92.76717433496975,73.70578833200138,2.416200479506793,-2.4210526315789473,21.84957186893481,-15.845579793340987,21.06156191369606,13.949537618449595,0.7727320028355704,18.669401839102,12.798817147974962,11.652363866739199,5.668194255019828,10.099148472258427,8.50197915682759,8.214550608654012,90.02,13,-39.7,-43.7,0,-50,1,0,95.24,100,31.4,18.7,24.1,-2,36,59,4067,466.1,326.1,151.9,16.628172818021586,3.5610016359039793,3.347438014583442,1.5168419243458697,0,0,0,0,52,28.8,28.8,13.8,466.1,2.4,2011-06-15
Edmonton,2012,92.80723870378823,71.22421678481592,2.7765458909589666,-2.498755707762557,16.888361478776815,-15.226704545454545,20.42729546266524,13.879721556544562,0.7795886180549605,17.86806136728604,12.59166494049034,11.467483409837769,7.6984342475047365,8.754442541649377,8.892875672017519,7.9711104320709065,89.76,15,-34.4,-39.6,0,-46,0,0,95.12,101,30.6,21.2,80.5,-1,36,56,1410,464.5,370.1,114.3,7.1455554202700675,4.113844988992814,3.977462348556695,1.4122572059572815,0,0,0,0,29,42.4,42.4,16.8,464.5,2.8,2012-06-15
Edmonton,2013,93.04636862565745,74.64137773200595,2.4394054178145086,-2.1406453827669067,21.363171735650585,-15.758489540885629,20.327734012974975,13.757347055460263,0.7015637737995932,17.408893992579628,12.848835020070199,11.505180512166586,6.174552875722704,8.650651791255129,8.872465249883547,8.129070100647692,90.21,13,-37.7,-41.4,0,-49,1,0,95.25,100,32,25.3,80.5,-1,36,57,4188,427.9,259.1,186.8,9.379884641736563,3.191592404719759,2.974289481611098,1.5634836936930336,0,0,0,0,49,30,30,13,427.9,2.4,2013-06-15
Edmonton,2014,92.97764477441461,71.24660194174757,2.405596801827527,-2.9036436322101657,21.71141062250143,-16.825524576027593,21.152360269745113,13.753169617361507,0.8501079931967013,17.615322512140843,13.219604204213205,11.789034461537288,5.578696649153122,9.596264688917904,9.162481297661683,7.769729723140655,89.38,14,-38.5,-42.4,0,-48,0,0,96.04,100,30,20.1,32.2,0,36,59,3024,336.1,243.5,112.8,11.955005465854994,3.2911637029169256,3.1186871861055083,1.3234841019802772,0,0,0,0,44,45.6,45.6,17,336.1,2.4,2014-06-15
Edmonton,2015,92.95411495829048,68.48577305450806,3.958153353902411,-2.2021254713747003,22.103656724945722,-14.350768224910102,21.01394763919058,13.426465546794653,0.7458259406553959,19.638940846463434,11.961281325334433,9.97553590664246,5.263152591200549,8.647228858856035,8.843923876044482,7.70967800386989,90.38,11,-35.8,-39.5,0.2,-45,0,0,95.86,98,32.5,18.6,32.2,0,36,60,1652,361,271.4,96.4,7.67300893499915,3.1805567944428317,3.0516176301314015,1.1456180560832658,0,0,0,0,28,37.4,37.4,11,361,4,2015-06-15
Edmonton,2016,92.89723152260562,71.9575219223323,4.458455756747523,-0.9980184489238128,21.745951486163307,-12.695235049568277,21.252734731084775,13.473006833712985,0.7071489645911854,20.119849206235628,11.375428323859245,9.824207732760176,5.7162899999857855,8.46158303136885,9.050661050711485,7.733917961039421,90.19,8,-32.3,-35.8,0.2,-41,0,0,95.38,98,29.6,18.4,40.2,-1,36,55,1135,494.3,426.7,76.4,5.137536205152127,4.747082269492779,4.718980971738891,0.9292891776442117,0,0,0,0,17,44.2,44.2,9.5,494.3,4.5,2016-06-15
Edmonton,2017,92.91829984014615,71.77529116236583,3.0463347796300524,-2.2190226079013473,21.436789221283398,-15.567412333736396,21.739115529653755,13.742064398264445,0.828267754658111,17.89114743876206,12.64144329339763,10.81975917615871,6.060370096317464,9.450553556208844,9.227805191789836,8.045053587782593,90.08,15,-35.1,-38.8,0,-45,0,0,95.26,99,32.3,21.5,40.2,0,36,73,1419,489.4,359.4,134.4,4.853879555437306,3.930491516777439,3.675660525896171,1.4333943704927996,0,0,0,0,20,44.6,44.6,18,489.4,3,2017-06-15
Edmonton,2018,93.05438886845654,71.87041804585019,2.984675738629398,-2.351268848841486,22.067966164030896,-14.78242924528302,21.179031269160024,13.16648277553022,0.6983731251178426,18.92926493812954,12.704911449787836,10.753601421023681,7.2148649711597095,9.006623480752411,9.349747827768129,7.587255359676147,90.85,13,-37,-40.9,0,-46,0,0,95.18,100,32.4,21.4,40.2,-1,36,55,2868,440.6,284.2,157.8,11.31103631863782,3.4725185361794284,3.0545069058378296,1.669543111281179,0,0,0,0,35,32,32,14,440.6,3,2018-06-15
