city,year,month,pressure_mean,rel_hum_mean,temp_mean,temp_dew_mean,visib_mean,wind_chill_mean,wind_dir_mean,wind_spd_mean,pressure_sd,rel_hum_sd,temp_sd,temp_dew_sd,visib_sd,wind_chill_sd,wind_dir_sd,wind_spd_sd,pressure_min,rel_hum_min,temp_min,temp_dew_min,visib_min,wind_chill_min,wind_dir_min,wind_spd_min,pressure_max,rel_hum_max,temp_max,temp_dew_max,visib_max,wind_chill_max,wind_dir_max,wind_spd_max,snow_grnd_sum,total_precip_sum,total_rain_sum,total_snow_sum,snow_grnd_sd,total_precip_sd,total_rain_sd,total_snow_sd,snow_grnd_min,total_precip_min,total_rain_min,total_snow_min,snow_grnd_max,total_precip_max,total_rain_max,total_snow_max,precip,temp,date
Edmonton,2017,03,92.9390188172043,77.45430107526882,-6.110752688172043,-9.628091397849463,19.673924731182797,-16.089866156787764,18.51212938005391,14.19489247311828,0.8647826135450749,12.462295556886222,9.050976760603714,8.848322824690543,7.439946574630632,9.375599729540774,9.963725763345348,8.080911541885389,90.65,33,-31.9,-35,0.2,-39,0,0,95.05,97,11.9,4,32.2,0,36,45,137,26.4,0.2,26.599999999999998,4.7713596611315126,1.6938852711526715,0.03592106040535498,1.6979937560836091,0,0,0,0,15,7.6,0.2,7.6,26.4,-6.1,2017-03-15
Edmonton,2017,04,92.846625,77.26527777777778,2.5341666666666667,-1.5181944444444444,19.524444444444445,-5.666666666666667,19.369958275382476,13.740277777777777,0.6085552543245883,17.260756133122538,3.9732589280136725,2.5703378207744816,7.803913801598472,2.313930798816227,10.955060843110402,6.95089391439988,91.17,26,-9.6,-11.2,0.2,-14,0,0,94.34,97,14.8,5,24.1,-1,36,36,42,69.2,29,43.2,2.9154759474226504,3.947494476712812,2.6140645235596858,3.5982371162595146,2,0,0,0,10,15.4,11.6,18,69.2,2.5,2017-04-15
Edmonton,2017,05,92.79060483870968,55.01747311827957,12.666801075268816,2.440591397849462,23.387231182795702,-3.875,20.629032258064516,15.98521505376344,0.682820360303445,22.91886246879066,6.849846004945353,3.26486952282269,3.470581749504737,1.246423454758225,10.057145796177974,9.4405298290412,90.27,15,-1.9,-5.7,0,-5,1,1,94.13,97,30.8,14.6,24.1,-2,36,73,0,71.7,71.7,0,NaN,8.15126746526714,8.15126746526714,0,Inf,0,0,0,-Inf,44.6,44.6,0,71.7,12.7,2017-05-15
Edmonton,2017,06,92.71743055555555,63.980555555555554,15.282222222222222,7.630833333333333,23.400694444444447,NaN,23.720445062586926,16.425,0.6510918897179075,20.741461965718614,5.133537015268044,3.1217562859329955,3.1348571166090857,NaN,9.249769210218831,8.670281600501147,91.22,22,3.5,-1.8,0.8,Inf,1,0,94.11,96,28.2,15.7,32.2,-Inf,36,46,0,56.6,56.6,0,NaN,3.265571010250506,3.265571010250506,0,Inf,0,0,0,-Inf,10.6,10.6,0,56.6,15.3,2017-06-15
Edmonton,2017,07,93.11559139784946,73.6491935483871,16.866263440860216,11.653225806451612,21.89032258064516,NaN,21.401881720430108,12.330645161290322,0.37545797926317975,17.220267235313873,5.360290064212702,3.009708887624007,4.933944600121348,NaN,9.279337628179826,7.124414574454378,92.25,31,5.1,4,0.2,Inf,0,1,94.21,96,27.8,19.2,32.2,-Inf,36,51,0,89.6,89.6,0,NaN,5.854875736723463,5.854875736723463,0,Inf,0,0,0,-Inf,26,26,0,89.6,16.9,2017-07-15
Edmonton,2017,08,93.19635752688173,72.15725806451613,15.311693548387098,9.6002688172043,21.330913978494625,NaN,21.571236559139784,10.810483870967742,0.5463610548759196,20.352829929667386,5.710742664910627,2.9220975398880644,5.777921147261912,NaN,9.16032057470958,6.772428291293186,91.93,27,1.8,0.9,0.4,Inf,0,1,94.5,97,29.4,15.3,32.2,-Inf,36,38,0,41,41,0,NaN,2.862948326163009,2.862948326163009,0,Inf,0,0,0,-Inf,13.4,13.4,0,41,15.3,2017-08-15
Edmonton,2017,09,92.98363888888889,71.8861111111111,10.856527777777778,5.037638888888889,21.73875,NaN,22.156944444444445,13.0375,0.7377253938701938,21.682583754318152,6.706425760451785,2.94256328753149,4.9465275432109,NaN,8.428647196989457,7.490558498557103,91.03,16,0.2,-0.6,0.2,Inf,0,1,94.63,99,32.3,13.6,24.1,-Inf,36,37,1,65.7,58.1,8.4,NaN,5.626069247033295,4.8690778942454696,1.0353743284435826,1,0,0,0,1,24.2,20.2,4.8,65.7,10.9,2017-09-15
Edmonton,2017,10,92.75479838709677,67.93145161290323,3.768279569892473,-2.185483870967742,23.431451612903228,-6.452127659574468,24.25537634408602,16.329301075268816,0.9846162391010858,17.32530586921886,5.673537947078888,3.300304489767105,3.437694623343115,2.641269696430929,7.789584661500632,9.98453186163687,90.08,26,-10.9,-12.6,1.2,-15,1,1,94.58,97,21.5,6.9,40.2,-2,36,59,4,25,10.2,14.799999999999999,1.1547005383792517,2.224999697958176,0.9173125779097322,1.716335180439095,0,0,0,0,2,8.8,3.6,8.2,25,3.8,2017-10-15
Edmonton,2017,11,92.66172461752434,80.80528511821974,-8.565924895688456,-11.38414464534075,18.942698191933243,-15.009022556390978,20.297635605006953,13.632823365785814,0.8829397130451446,8.548627080029474,5.878071135880717,5.560365016895011,7.774920322703295,6.067634096673663,9.634714536864298,7.6877670588907225,90.47,45,-24.5,-27.4,0.4,-32,0,1,94.32,96,5.7,1.3,24.1,-2,36,48,346,19.4,1.6,19.2,3.870250118382012,1.3689489267394759,0.3079201435678005,1.4069424933120687,2,0,0,0,20,6,1.6,6,19.4,-8.6,2017-11-15
Edmonton,2017,12,93.55045698924731,70.10349462365592,-9.077956989247312,-13.756720430107526,23.085887096774194,-18.237458193979933,23.76478494623656,14.317204301075268,0.861222521961264,10.101705605621097,10.828710311867065,10.006829861313879,3.9508047827475914,12.321644214205554,7.267234804473644,7.546459045479267,91.57,41,-35.1,-38.8,0.2,-45,1,1,95.26,95,8.4,0.3,32.2,-1,36,51,302,3,0.2,2.8,1.7695148475497242,0.3103587934071811,0.035921060405355004,0.31022017848583766,8,0,0,0,15,1.5,0.2,1.5,3,-9.1,2017-12-15
